gene_name,biotype,complex
TRNF,tRNA,none
RNR1,rRNA,none
TRNV,tRNA,none
RNR2,rRNA,none
TRNL1,tRNA,none
ND1,protein_coding,I
TRNI,tRNA,none
TRNQ,tRNA,none
TRNM,tRNA,none
ND2,protein_coding,I
TRNW,tRNA,none
TRNA,tRNA,none
TRNN,tRNA,none
TRNC,tRNA,none
TRNY,tRNA,none
COX1,protein_coding,IV
TRNS1,tRNA,none
TRND,tRNA,none
COX2,protein_coding,IV
TRNK,tRNA,none
ATP8,protein_coding,V
ATP6,protein_coding,V
COX3,protein_coding,IV
TRNG,tRNA,none
ND3,protein_coding,I
TRNR,tRNA,none
ND4L,protein_coding,I
ND4,protein_coding,I
TRNH,tRNA,none
TRNS2,tRNA,none
TRNL2,tRNA,none
ND5,protein_coding,I
ND6,protein_coding,I
TRNE,tRNA,none
CYTB,protein_coding,III
TRNT,tRNA,none
TRNP,tRNA,none
